document,field,gold_state,gold_derivation,value_cited,value_page,value_span,value_bbox,value_support,value_localized,evidence_available,evidence_read,evidence_state,evidence_value,evidence_support,verify_available,verify_support,verify_note,pipeline_joint
sds_11.pdf,flash_point,NO_DATA,EXPLICIT,True,satisfied,satisfied,satisfied,satisfied,True,True,True,satisfied,satisfied,satisfied,True,satisfied,,yes
sds_12.pdf,product_name,PRESENT,EXPLICIT,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_12.pdf,supplier_name,PRESENT,EXPLICIT,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_12.pdf,substance_or_mixture,PRESENT,EXPLICIT,True,satisfied,satisfied,violated,satisfied,False,True,False,n/a,n/a,n/a,True,undecidable,cited span declares no product form,no
sds_12.pdf,product_cas_number,NOT_APPLICABLE,EXPLICIT,False,n/a,n/a,n/a,n/a,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_12.pdf,chemical_formula,NOT_APPLICABLE,ONTOLOGY,True,satisfied,satisfied,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,premise establishes MIXTURE,no
sds_12.pdf,molecular_weight,NOT_APPLICABLE,ONTOLOGY,True,satisfied,satisfied,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,premise establishes MIXTURE,no
sds_12.pdf,flash_point,NO_DATA,EXPLICIT,False,n/a,n/a,n/a,n/a,False,False,False,n/a,n/a,n/a,False,n/a,,no
sds_13.pdf,product_name,PRESENT,EXPLICIT,True,satisfied,satisfied,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_13.pdf,supplier_name,PRESENT,EXPLICIT,True,satisfied,satisfied,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_13.pdf,substance_or_mixture,PRESENT,EXPLICIT,True,violated,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,yes
sds_13.pdf,product_cas_number,PRESENT,EXPLICIT,False,n/a,n/a,n/a,n/a,False,False,False,n/a,n/a,n/a,False,n/a,,no
sds_13.pdf,molecular_weight,PRESENT,EXPLICIT,True,satisfied,satisfied,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_13.pdf,flash_point,NOT_APPLICABLE,EXPLICIT,True,satisfied,satisfied,violated,violated,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_14.pdf,product_name,PRESENT,EXPLICIT,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_14.pdf,supplier_name,PRESENT,EXPLICIT,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,yes
sds_14.pdf,substance_or_mixture,PRESENT,EXPLICIT,True,satisfied,satisfied,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_14.pdf,product_cas_number,NOT_APPLICABLE,ONTOLOGY,True,satisfied,satisfied,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,premise establishes MIXTURE,no
sds_14.pdf,chemical_formula,NOT_APPLICABLE,ONTOLOGY,True,satisfied,satisfied,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,premise establishes MIXTURE,no
sds_14.pdf,molecular_weight,NOT_APPLICABLE,ONTOLOGY,True,satisfied,satisfied,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,premise establishes MIXTURE,no
sds_14.pdf,flash_point,PRESENT,EXPLICIT,True,satisfied,satisfied,violated,satisfied,False,True,True,violated,violated,satisfied,True,satisfied,,no
sds_15.pdf,product_name,PRESENT,EXPLICIT,True,satisfied,satisfied,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_15.pdf,supplier_name,PRESENT,EXPLICIT,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,yes
sds_15.pdf,substance_or_mixture,PRESENT,EXPLICIT,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_15.pdf,product_cas_number,NOT_APPLICABLE,ONTOLOGY,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,premise establishes MIXTURE,no
sds_15.pdf,chemical_formula,NOT_APPLICABLE,ONTOLOGY,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,premise establishes MIXTURE,no
sds_15.pdf,molecular_weight,NOT_APPLICABLE,ONTOLOGY,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,premise establishes MIXTURE,no
sds_15.pdf,flash_point,NO_DATA,EXPLICIT,True,satisfied,satisfied,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_16.pdf,product_name,PRESENT,EXPLICIT,True,satisfied,satisfied,satisfied,satisfied,True,True,True,satisfied,satisfied,satisfied,True,satisfied,,yes
sds_16.pdf,supplier_name,PRESENT,EXPLICIT,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,yes
sds_16.pdf,substance_or_mixture,PRESENT,EXPLICIT,True,violated,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_16.pdf,product_cas_number,PRESENT,EXPLICIT,True,satisfied,satisfied,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_16.pdf,chemical_formula,PRESENT,EXPLICIT,True,satisfied,satisfied,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_16.pdf,molecular_weight,PRESENT,EXPLICIT,True,satisfied,satisfied,satisfied,satisfied,True,True,True,satisfied,satisfied,satisfied,True,satisfied,,yes
sds_16.pdf,flash_point,NO_DATA,EXPLICIT,True,satisfied,satisfied,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_17.pdf,product_name,PRESENT,EXPLICIT,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_17.pdf,supplier_name,PRESENT,EXPLICIT,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_17.pdf,substance_or_mixture,PRESENT,EXPLICIT,True,satisfied,violated,violated,satisfied,False,False,False,n/a,n/a,n/a,False,n/a,,no
sds_17.pdf,product_cas_number,NOT_APPLICABLE,ONTOLOGY,True,satisfied,violated,violated,satisfied,False,False,False,n/a,n/a,n/a,False,n/a,,no
sds_17.pdf,chemical_formula,NOT_APPLICABLE,ONTOLOGY,True,satisfied,violated,violated,satisfied,False,False,False,n/a,n/a,n/a,False,n/a,,no
sds_17.pdf,flash_point,NOT_APPLICABLE,EXPLICIT,True,satisfied,satisfied,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_18.pdf,product_name,PRESENT,EXPLICIT,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,yes
sds_18.pdf,supplier_name,PRESENT,EXPLICIT,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,yes
